Data: 2018-5-30
Czas: 12.27.53
$$$ DANE POMIAROWE PROCESU $$$
PWM: 002
Czas zgrzewania: 011
-
t [ms]; I [A]; U [V]; F [kN]
0.1; 1159; 0; 0
0.4; 1148; 0; 0
0.7; 1157; 0; 0
1.0; 1174; 0; 0
1.3; 1144; 0; 0
1.6; 1139; 0; 0
1.9; 1174; 0; 0
2.2; 1148; 0; 0
2.5; 1156; 0; 0
2.8; 1171; 0; 0
3.1; 1165; 0; 0
3.4; 1150; 0; 0
3.7; 1172; 0; 0
4.0; 1185; 0; 0
4.3; 1171; 0; 0
4.6; 1167; 0; 0
4.9; 1163; 0; 0
5.2; 1177; 0; 0
5.5; 1171; 0; 0
5.8; 1178; 0; 0
6.1; 1181; 0; 0
6.4; 1169; 0; 0
6.7; 1165; 0; 0
7.0; 1172; 0; 0
7.3; 1174; 0; 0
7.6; 1154; 0; 0
7.9; 1172; 0; 0
8.2; 1169; 0; 0
8.5; 1152; 0; 0
8.8; 1185; 0; 0
9.1; 1173; 0; 0
9.4; 1178; 0; 0
9.7; 1156; 0; 0
10.0; 1170; 0; 0
10.3; 1166; 0; 0
10.6; 1174; 0; 0
10.9; 1177; 0; 0
11.2; 1140; 0; 0
11.5; 1150; 0; 0
11.8; 1179; 0; 0
12.1; 1172; 0; 0
12.4; 1161; 0; 0
12.7; 1138; 0; 0
13.0; 1154; 0; 0
13.3; 1140; 0; 0
13.6; 1179; 0; 0
13.9; 1164; 0; 0
14.2; 1171; 0; 0
14.5; 1166; 0; 0
14.8; 1184; 0; 0
15.1; 1172; 0; 0
15.4; 1154; 0; 0
15.7; 1166; 0; 0
16.0; 1158; 0; 0
16.3; 1171; 0; 0
16.6; 1163; 0; 0
16.9; 1139; 0; 0
17.2; 1180; 0; 0
17.5; 1170; 0; 0
17.8; 1159; 0; 0
18.1; 1172; 0; 0
18.4; 1166; 0; 0
18.7; 1177; 0; 0
19.0; 1157; 0; 0
19.3; 1152; 0; 0
19.6; 1169; 0; 0
19.9; 1172; 0; 0
20.2; 1162; 0; 0
20.5; 1184; 0; 0
20.8; 1150; 0; 0
21.1; 1181; 0; 0
21.4; 1152; 0; 0
21.7; 1155; 0; 0
22.0; 1166; 0; 0
22.3; 1172; 0; 0
22.6; 1183; 0; 0
22.9; 1166; 0; 0
23.2; 1140; 0; 0
23.5; 1160; 0; 0
23.8; 1187; 0; 0
24.1; 1178; 0; 0
24.4; 1190; 0; 0
24.7; 1153; 0; 0
25.0; 1163; 0; 0
25.3; 1154; 0; 0
25.6; 1180; 0; 0
25.9; 1156; 0; 0
26.2; 1168; 0; 0
26.5; 1178; 0; 0
26.8; 1170; 0; 0
27.1; 1181; 0; 0
27.4; 1152; 0; 0
27.7; 1148; 0; 0
28.0; 1179; 0; 0
28.3; 1144; 0; 0
28.6; 1148; 0; 0
28.9; 1150; 0; 0
29.2; 1163; 0; 0
29.5; 1172; 0; 0
29.8; 1171; 0; 0
30.1; 1169; 0; 0
30.4; 1157; 0; 0
30.7; 1150; 0; 0
31.0; 1170; 0; 0
31.3; 1171; 0; 0
31.6; 1178; 0; 0
31.9; 1158; 0; 0
32.2; 1176; 0; 0
32.5; 1143; 0; 0
32.8; 1159; 0; 0
33.1; 1172; 0; 0
33.4; 1147; 0; 0
33.7; 1174; 0; 0
34.0; 1163; 0; 0
34.3; 1168; 0; 0
34.6; 1172; 0; 0
34.9; 1145; 0; 0
35.2; 1152; 0; 0
35.5; 1168; 0; 0
35.8; 1163; 0; 0
36.1; 1188; 0; 0
36.4; 1174; 0; 0
36.7; 1180; 0; 0
37.0; 1184; 0; 0
37.3; 1181; 0; 0
37.6; 1157; 0; 0
37.9; 1153; 0; 0
38.2; 1148; 0; 0
38.5; 1157; 0; 0
38.8; 1169; 0; 0
39.1; 1156; 0; 0
39.4; 1174; 0; 0
39.7; 1151; 0; 0
40.0; 1152; 0; 0
40.3; 1170; 0; 0
40.6; 1179; 0; 0
40.9; 1188; 0; 0
41.2; 1151; 0; 0
41.5; 1159; 0; 0
41.8; 1172; 0; 0
42.1; 1141; 0; 0
42.4; 1147; 0; 0
42.7; 1181; 0; 0
43.0; 1176; 0; 0
43.3; 1169; 0; 0
43.6; 1151; 0; 0
43.9; 1156; 0; 0
44.2; 1156; 0; 0
44.5; 1176; 0; 0
44.8; 1180; 0; 0
45.1; 1159; 0; 0
45.4; 1152; 0; 0
45.7; 1163; 0; 0
46.0; 1147; 0; 0
46.3; 1143; 0; 0
46.6; 1149; 0; 0
46.9; 1160; 0; 0
47.2; 1166; 0; 0
47.5; 1153; 0; 0
47.8; 1178; 0; 0
48.1; 1150; 0; 0
48.4; 1165; 0; 0
48.7; 1173; 0; 0
49.0; 1173; 0; 0
49.3; 1185; 0; 0
49.6; 1152; 0; 0
49.9; 1145; 0; 0
50.2; 1167; 0; 0
50.5; 1178; 0; 0
50.8; 1149; 0; 0
51.1; 1171; 0; 0
51.4; 1183; 0; 0
51.7; 1173; 0; 0
52.0; 1157; 0; 0
52.3; 1157; 0; 0
52.6; 1148; 0; 0
52.9; 1164; 0; 0
53.2; 1168; 0; 0
53.5; 1173; 0; 0
53.8; 1153; 0; 0
54.1; 1179; 0; 0
54.4; 1166; 0; 0
54.7; 1178; 0; 0
55.0; 1140; 0; 0
55.3; 1188; 0; 0
55.6; 1178; 0; 0
55.9; 1170; 0; 0
56.2; 1179; 0; 0
56.5; 1153; 0; 0
56.8; 1159; 0; 0
57.1; 1179; 0; 0
57.4; 1178; 0; 0
57.7; 1160; 0; 0
58.0; 1162; 0; 0
58.3; 1148; 0; 0
58.6; 1172; 0; 0
58.9; 1169; 0; 0
59.2; 1164; 0; 0
59.5; 1190; 0; 0
59.8; 1180; 0; 0
60.1; 1183; 0; 0
60.4; 1182; 0; 0
60.7; 1172; 0; 0
61.0; 1156; 0; 0
61.3; 1162; 0; 0
61.6; 1172; 0; 0
61.9; 1157; 0; 0
62.2; 1141; 0; 0
62.5; 1151; 0; 0
62.8; 1158; 0; 0
63.1; 1159; 0; 0
63.4; 1179; 0; 0
63.7; 1174; 0; 0
64.0; 1150; 0; 0
64.3; 1163; 0; 0
64.6; 1174; 0; 0
64.9; 1166; 0; 0
65.2; 1151; 0; 0
65.5; 1145; 0; 0
65.8; 1161; 0; 0
66.1; 1168; 0; 0
66.4; 1164; 0; 0
66.7; 1166; 0; 0
67.0; 1168; 0; 0
67.3; 1172; 0; 0
67.6; 1139; 0; 0
67.9; 1169; 0; 0
68.2; 1161; 0; 0
68.5; 1172; 0; 0
68.8; 1159; 0; 0
69.1; 1154; 0; 0
69.4; 1172; 0; 0
69.7; 1169; 0; 0
70.0; 1188; 0; 0
70.3; 1175; 0; 0
70.6; 1158; 0; 0
70.9; 1157; 0; 0
71.2; 1189; 0; 0
71.5; 1170; 0; 0
71.8; 1154; 0; 0
72.1; 1138; 0; 0
72.4; 1163; 0; 0
72.7; 1157; 0; 0
73.0; 1173; 0; 0
73.3; 1155; 0; 0
73.6; 1177; 0; 0
73.9; 1179; 0; 0
74.2; 1176; 0; 0
74.5; 1156; 0; 0
74.8; 1151; 0; 0
75.1; 1161; 0; 0
75.4; 1188; 0; 0
75.7; 1161; 0; 0
76.0; 1162; 0; 0
76.3; 1151; 0; 0
76.6; 1159; 0; 0
76.9; 1184; 0; 0
77.2; 1164; 0; 0
77.5; 1154; 0; 0
77.8; 1150; 0; 0
78.1; 1176; 0; 0
78.4; 1175; 0; 0
78.7; 1152; 0; 0
79.0; 1160; 0; 0
79.3; 1157; 0; 0
79.6; 1152; 0; 0
79.9; 1159; 0; 0
80.2; 1170; 0; 0
80.5; 1152; 0; 0
80.8; 1163; 0; 0
81.1; 1163; 0; 0
81.4; 1142; 0; 0
81.7; 1140; 0; 0
82.0; 1172; 0; 0
82.3; 1165; 0; 0
82.6; 1170; 0; 0
82.9; 1160; 0; 0
83.2; 1173; 0; 0
83.5; 1148; 0; 0
83.8; 1162; 0; 0
84.1; 1175; 0; 0
84.4; 1173; 0; 0
84.7; 1165; 0; 0
85.0; 1164; 0; 0
85.3; 1167; 0; 0
85.6; 1187; 0; 0
85.9; 1181; 0; 0
86.2; 1155; 0; 0
86.5; 1162; 0; 0
86.8; 1150; 0; 0
87.1; 1159; 0; 0
87.4; 1152; 0; 0
87.7; 1143; 0; 0
88.0; 1148; 0; 0
88.3; 1178; 0; 0
88.6; 1184; 0; 0
88.9; 1184; 0; 0
89.2; 1147; 0; 0
89.5; 1157; 0; 0
89.8; 1173; 0; 0
90.1; 1174; 0; 0
90.4; 1160; 0; 0
90.7; 1168; 0; 0
91.0; 1154; 0; 0
91.3; 1149; 0; 0
91.6; 1190; 0; 0
91.9; 1177; 0; 0
92.2; 1174; 0; 0
92.5; 1152; 0; 0
92.8; 1139; 0; 0
93.1; 1139; 0; 0
93.4; 1154; 0; 0
93.7; 1135; 0; 0
94.0; 1160; 0; 0
94.3; 1155; 0; 0
94.6; 1157; 0; 0
94.9; 1147; 0; 0
95.2; 1158; 0; 0
95.5; 1156; 0; 0
95.8; 1160; 0; 0
96.1; 1164; 0; 0
96.4; 1168; 0; 0
96.7; 1182; 0; 0
97.0; 1163; 0; 0
97.3; 1169; 0; 0
97.6; 1180; 0; 0
97.9; 1162; 0; 0
98.2; 1177; 0; 0
98.5; 1147; 0; 0
98.8; 1148; 0; 0
99.1; 1146; 0; 0
99.4; 1155; 0; 0
99.7; 1174; 0; 0
100.0; 1169; 0; 0
100.3; 1143; 0; 0
100.6; 1172; 0; 0
100.9; 1155; 0; 0
101.2; 1168; 0; 0
101.5; 1162; 0; 0
101.8; 1168; 0; 0
102.1; 1177; 0; 0
102.4; 1181; 0; 0
102.7; 1169; 0; 0
103.0; 1143; 0; 0
103.3; 1148; 0; 0
103.6; 1173; 0; 0
103.9; 1177; 0; 0
104.2; 1166; 0; 0
104.5; 1171; 0; 0
104.8; 1159; 0; 0
105.1; 1189; 0; 0
105.4; 1178; 0; 0
105.7; 1184; 0; 0
106.0; 1165; 0; 0
106.3; 1152; 0; 0
106.6; 1181; 0; 0
106.9; 1176; 0; 0
107.2; 1162; 0; 0
107.5; 1146; 0; 0
107.8; 1160; 0; 0
108.1; 1152; 0; 0
108.4; 1173; 0; 0
108.7; 1160; 0; 0
109.0; 1182; 0; 0
109.3; 1160; 0; 0
109.6; 1188; 0; 0
109.9; 1186; 0; 0
110.2; 1152; 0; 0
110.5; 1163; 0; 0
110.8; 1187; 0; 0
111.1; 1178; 0; 0
111.4; 1176; 0; 0
111.7; 1172; 0; 0
112.0; 1148; 0; 0
112.3; 1164; 0; 0
112.6; 1170; 0; 0
112.9; 1148; 0; 0
113.2; 1188; 0; 0
113.5; 1183; 0; 0
113.8; 1151; 0; 0
114.1; 1172; 0; 0
114.4; 1176; 0; 0
114.7; 1159; 0; 0
115.0; 1160; 0; 0
115.3; 1135; 0; 0
115.6; 1178; 0; 0
115.9; 1165; 0; 0
116.2; 1183; 0; 0
116.5; 1157; 0; 0
116.8; 1151; 0; 0
117.1; 1140; 0; 0
117.4; 1168; 0; 0
117.7; 1171; 0; 0
118.0; 1186; 0; 0
118.3; 1165; 0; 0
118.6; 1172; 0; 0
118.9; 1162; 0; 0
119.2; 1162; 0; 0
119.5; 1158; 0; 0
119.8; 1148; 0; 0
120.1; 1172; 0; 0
120.4; 1167; 0; 0
120.7; 1160; 0; 0
121.0; 1165; 0; 0
121.3; 1143; 0; 0
121.6; 1163; 0; 0
121.9; 1159; 0; 0
122.2; 1179; 0; 0
122.5; 1151; 0; 0
122.8; 1180; 0; 0
123.1; 1154; 0; 0
123.4; 1176; 0; 0
123.7; 1183; 0; 0
124.0; 1155; 0; 0
124.3; 1166; 0; 0
124.6; 1172; 0; 0
124.9; 1161; 0; 0
125.2; 1155; 0; 0
125.5; 1169; 0; 0
125.8; 1182; 0; 0
126.1; 1174; 0; 0
126.4; 1160; 0; 0
126.7; 1157; 0; 0
127.0; 1175; 0; 0
127.3; 1172; 0; 0
127.6; 1152; 0; 0
127.9; 1172; 0; 0
128.2; 1161; 0; 0
128.5; 1183; 0; 0
128.8; 1178; 0; 0
129.1; 1161; 0; 0
129.4; 1181; 0; 0
129.7; 1183; 0; 0
130.0; 1157; 0; 0
130.3; 1183; 0; 0
130.6; 1150; 0; 0
130.9; 1173; 0; 0
131.2; 1182; 0; 0
131.5; 1166; 0; 0
131.8; 1146; 0; 0
132.1; 1152; 0; 0
132.4; 1177; 0; 0
132.7; 1186; 0; 0
133.0; 1181; 0; 0
133.3; 1163; 0; 0
133.6; 1166; 0; 0
133.9; 1172; 0; 0
134.2; 1170; 0; 0
134.5; 1140; 0; 0
134.8; 1178; 0; 0
135.1; 1162; 0; 0
135.4; 1142; 0; 0
135.7; 1191; 0; 0
136.0; 1165; 0; 0
136.3; 1163; 0; 0
136.6; 1172; 0; 0
136.9; 1180; 0; 0
137.2; 1159; 0; 0
137.5; 1168; 0; 0
137.8; 1137; 0; 0
138.1; 1139; 0; 0
138.4; 1148; 0; 0
138.7; 1155; 0; 0
139.0; 1164; 0; 0
139.3; 1173; 0; 0
139.6; 1178; 0; 0
139.9; 1155; 0; 0
140.2; 1172; 0; 0
140.5; 1147; 0; 0
140.8; 1169; 0; 0
141.1; 1176; 0; 0
141.4; 1174; 0; 0
141.7; 1160; 0; 0
142.0; 1180; 0; 0
142.3; 1162; 0; 0
142.6; 1162; 0; 0
142.9; 1168; 0; 0
143.2; 1161; 0; 0
143.5; 1150; 0; 0
143.8; 1152; 0; 0
144.1; 1162; 0; 0
144.4; 1168; 0; 0
144.7; 1156; 0; 0
145.0; 1146; 0; 0
145.3; 1140; 0; 0
145.6; 1139; 0; 0
145.9; 1159; 0; 0
146.2; 1173; 0; 0
146.5; 1181; 0; 0
146.8; 1164; 0; 0
147.1; 1148; 0; 0
147.4; 1154; 0; 0
147.7; 1162; 0; 0
148.0; 1179; 0; 0
148.3; 1165; 0; 0
148.6; 1169; 0; 0
148.9; 1159; 0; 0
149.2; 1151; 0; 0
149.5; 1165; 0; 0
149.8; 1189; 0; 0
150.1; 1172; 0; 0
150.4; 1142; 0; 0
150.7; 1145; 0; 0
151.0; 1151; 0; 0
151.3; 1157; 0; 0
151.6; 1163; 0; 0
151.9; 1182; 0; 0
152.2; 1177; 0; 0
152.5; 1143; 0; 0
152.8; 1170; 0; 0
153.1; 1152; 0; 0
153.4; 1181; 0; 0
153.7; 1154; 0; 0
154.0; 1163; 0; 0
154.3; 1174; 0; 0
154.6; 1166; 0; 0
154.9; 1160; 0; 0
155.2; 1186; 0; 0
155.5; 1172; 0; 0
155.8; 1178; 0; 0
156.1; 1157; 0; 0
156.4; 1145; 0; 0
156.7; 1173; 0; 0
157.0; 1143; 0; 0
157.3; 1181; 0; 0
157.6; 1178; 0; 0
157.9; 1149; 0; 0
158.2; 1165; 0; 0
158.5; 1150; 0; 0
158.8; 1160; 0; 0
159.1; 1163; 0; 0
159.4; 1184; 0; 0
159.7; 1143; 0; 0
160.0; 1176; 0; 0
160.3; 1176; 0; 0
160.6; 1177; 0; 0
160.9; 1182; 0; 0
161.2; 1171; 0; 0
161.5; 1171; 0; 0
161.8; 1165; 0; 0
162.1; 1169; 0; 0
162.4; 1155; 0; 0
162.7; 1165; 0; 0
163.0; 1148; 0; 0
163.3; 1165; 0; 0
163.6; 1188; 0; 0
163.9; 1162; 0; 0
164.2; 1152; 0; 0
164.5; 1143; 0; 0
164.8; 1139; 0; 0
165.1; 1175; 0; 0
165.4; 1181; 0; 0
165.7; 1155; 0; 0
166.0; 1164; 0; 0
166.3; 1180; 0; 0
166.6; 1178; 0; 0
166.9; 1162; 0; 0
167.2; 1156; 0; 0
167.5; 1182; 0; 0
167.8; 1159; 0; 0
168.1; 1160; 0; 0
168.4; 1184; 0; 0
168.7; 1162; 0; 0
169.0; 1166; 0; 0
169.3; 1178; 0; 0
169.6; 1154; 0; 0
169.9; 1148; 0; 0
170.2; 1161; 0; 0
170.5; 1163; 0; 0
170.8; 1163; 0; 0
171.1; 1147; 0; 0
171.4; 1139; 0; 0
171.7; 1174; 0; 0
172.0; 1166; 0; 0
172.3; 1163; 0; 0
172.6; 1170; 0; 0
172.9; 1169; 0; 0
173.2; 1157; 0; 0
173.5; 1168; 0; 0
173.8; 1149; 0; 0
174.1; 1187; 0; 0
174.4; 1172; 0; 0
174.7; 1146; 0; 0
175.0; 1152; 0; 0
175.3; 1190; 0; 0
175.6; 1157; 0; 0
175.9; 1157; 0; 0
176.2; 1146; 0; 0
176.5; 1177; 0; 0
176.8; 1180; 0; 0
177.1; 1167; 0; 0
177.4; 1175; 0; 0
177.7; 1182; 0; 0
178.0; 1180; 0; 0
178.3; 1170; 0; 0
178.6; 1167; 0; 0
178.9; 1176; 0; 0
179.2; 1180; 0; 0
179.5; 1152; 0; 0
179.8; 1178; 0; 0
180.1; 1155; 0; 0
180.4; 1181; 0; 0
180.7; 1170; 0; 0
181.0; 1171; 0; 0
181.3; 1140; 0; 0
181.6; 1166; 0; 0
181.9; 1181; 0; 0
182.2; 1166; 0; 0
182.5; 1172; 0; 0
182.8; 1150; 0; 0
183.1; 1172; 0; 0
183.4; 1172; 0; 0
183.7; 1149; 0; 0
184.0; 1159; 0; 0
184.3; 1140; 0; 0
184.6; 1172; 0; 0
184.9; 1149; 0; 0
185.2; 1168; 0; 0
185.5; 1144; 0; 0
185.8; 1140; 0; 0
186.1; 1174; 0; 0
186.4; 1165; 0; 0
186.7; 1187; 0; 0
187.0; 1176; 0; 0
187.3; 1168; 0; 0
187.6; 1160; 0; 0
187.9; 1173; 0; 0
188.2; 1182; 0; 0
188.5; 1172; 0; 0
188.8; 1173; 0; 0
189.1; 1149; 0; 0
189.4; 1175; 0; 0
189.7; 1168; 0; 0
190.0; 1158; 0; 0
190.3; 1179; 0; 0
190.6; 1148; 0; 0
190.9; 1182; 0; 0
191.2; 1152; 0; 0
191.5; 1168; 0; 0
191.8; 1161; 0; 0
192.1; 1166; 0; 0
192.4; 1141; 0; 0
192.7; 1160; 0; 0
193.0; 1145; 0; 0
193.3; 1149; 0; 0
193.6; 1138; 0; 0
193.9; 1178; 0; 0
194.2; 1168; 0; 0
194.5; 1167; 0; 0
194.8; 1172; 0; 0
195.1; 1151; 0; 0
195.4; 1180; 0; 0
195.7; 1184; 0; 0
196.0; 1144; 0; 0
196.3; 1162; 0; 0
196.6; 1169; 0; 0
196.9; 1157; 0; 0
197.2; 1155; 0; 0
197.5; 1166; 0; 0
197.8; 1178; 0; 0
198.1; 1163; 0; 0
198.4; 1150; 0; 0
198.7; 1140; 0; 0
199.0; 1168; 0; 0
199.3; 1170; 0; 0
199.6; 1189; 0; 0
199.9; 1174; 0; 0
200.2; 1159; 0; 0
200.5; 1161; 0; 0
200.8; 1150; 0; 0
201.1; 1162; 0; 0
201.4; 1182; 0; 0
201.7; 1162; 0; 0
202.0; 1182; 0; 0
202.3; 1152; 0; 0
202.6; 1150; 0; 0
202.9; 1175; 0; 0
203.2; 1190; 0; 0
203.5; 1154; 0; 0
203.8; 1159; 0; 0
204.1; 1152; 0; 0
204.4; 1148; 0; 0
204.7; 1158; 0; 0
205.0; 1172; 0; 0
205.3; 1157; 0; 0
205.6; 1170; 0; 0
205.9; 1146; 0; 0
206.2; 1180; 0; 0
206.5; 1148; 0; 0
206.8; 1168; 0; 0
207.1; 1158; 0; 0
207.4; 1173; 0; 0
207.7; 1148; 0; 0
208.0; 1181; 0; 0
208.3; 1181; 0; 0
208.6; 1169; 0; 0
208.9; 1171; 0; 0
209.2; 1181; 0; 0
209.5; 1176; 0; 0
209.8; 1170; 0; 0
210.1; 1147; 0; 0
210.4; 1140; 0; 0
210.7; 1170; 0; 0
211.0; 1153; 0; 0
211.3; 1148; 0; 0
211.6; 1180; 0; 0
211.9; 1185; 0; 0
212.2; 1186; 0; 0
212.5; 1186; 0; 0
212.8; 1154; 0; 0
213.1; 1164; 0; 0
213.4; 1165; 0; 0
213.7; 1189; 0; 0
214.0; 1147; 0; 0
214.3; 1173; 0; 0
214.6; 1146; 0; 0
214.9; 1150; 0; 0
215.2; 1179; 0; 0
215.5; 1157; 0; 0
215.8; 1180; 0; 0
216.1; 1171; 0; 0
216.4; 1175; 0; 0
216.7; 1139; 0; 0
217.0; 1172; 0; 0
217.3; 1174; 0; 0
217.6; 1169; 0; 0
217.9; 1147; 0; 0
218.2; 1154; 0; 0
218.5; 1163; 0; 0
218.8; 1171; 0; 0
219.1; 1159; 0; 0
219.4; 1160; 0; 0
219.7; 1168; 0; 0
220.0; 1165; 0; 0
220.3; 1165; 0; 0
220.6; 1148; 0; 0
220.9; 1171; 0; 0
221.2; 1156; 0; 0
221.5; 1162; 0; 0
221.8; 1163; 0; 0
222.1; 1143; 0; 0
222.4; 1163; 0; 0
222.7; 1180; 0; 0
223.0; 1158; 0; 0
223.3; 1156; 0; 0
223.6; 1165; 0; 0
223.9; 1152; 0; 0
224.2; 1181; 0; 0
224.5; 1162; 0; 0
224.8; 1166; 0; 0
225.1; 1171; 0; 0
225.4; 1160; 0; 0
225.7; 1164; 0; 0
226.0; 1164; 0; 0
226.3; 1184; 0; 0
226.6; 1139; 0; 0
226.9; 1179; 0; 0
227.2; 1172; 0; 0
227.5; 1189; 0; 0
227.8; 1148; 0; 0
228.1; 1186; 0; 0
228.4; 1147; 0; 0
228.7; 1152; 0; 0
229.0; 1148; 0; 0
229.3; 1160; 0; 0
229.6; 1168; 0; 0
229.9; 1149; 0; 0
230.2; 1169; 0; 0
230.5; 1148; 0; 0
230.8; 1184; 0; 0
231.1; 1172; 0; 0
231.4; 1156; 0; 0
231.7; 1178; 0; 0
232.0; 1140; 0; 0
232.3; 1162; 0; 0
232.6; 1148; 0; 0
232.9; 1144; 0; 0
233.2; 1165; 0; 0
233.5; 1180; 0; 0
233.8; 1172; 0; 0
234.1; 1136; 0; 0
234.4; 1171; 0; 0
234.7; 1140; 0; 0
235.0; 1165; 0; 0
235.3; 1169; 0; 0
235.6; 1163; 0; 0
235.9; 1178; 0; 0
236.2; 1140; 0; 0
236.5; 1160; 0; 0
236.8; 1160; 0; 0
237.1; 1155; 0; 0
237.4; 1172; 0; 0
237.7; 1177; 0; 0
238.0; 1155; 0; 0
238.3; 1148; 0; 0
238.6; 1146; 0; 0
238.9; 1156; 0; 0
239.2; 1178; 0; 0
239.5; 1178; 0; 0
239.8; 1180; 0; 0
240.1; 1166; 0; 0
240.4; 1175; 0; 0
