Data: 2018-5-30
Czas: 14.38.37
$$$ DANE POMIAROWE PROCESU $$$
Wypelnienie PWM: 001
Czas zgrzewania: 022
-
t [ms]; I [A]; U [V]; F [kN]
0.1; 0; 1020; 1018
0.2; 1273; 1021; 4094
0.3; 1273; 1020; 4094
0.4; 1280; 1007; 4092
0.5; 1275; 1038; 4093
0.6; 1281; 979; 4092
0.7; 1274; 1034; 4092
0.8; 1279; 996; 4079
0.9; 1260; 992; 4095
1.0; 1259; 1025; 4094
1.1; 1286; 1045; 4093
1.2; 1279; 1012; 4093
1.3; 1266; 1027; 4094
1.4; 1286; 982; 4093
1.5; 1258; 1005; 4092
1.6; 1285; 1024; 4092
1.7; 1273; 1017; 4079
1.8; 1268; 1014; 4094
1.9; 1299; 1038; 4093
2.0; 1266; 1007; 4094
2.1; 1269; 1016; 4094
2.2; 1266; 990; 4091
2.3; 1272; 1026; 4093
2.4; 1274; 994; 4094
2.5; 1283; 1033; 4087
2.6; 1277; 1021; 4083
2.7; 1293; 1032; 4094
2.8; 1268; 1021; 4094
2.9; 1272; 999; 4094
3.0; 1266; 992; 4094
3.1; 1300; 1008; 4091
3.2; 1254; 1017; 4093
3.3; 1271; 1031; 4092
3.4; 1294; 1019; 4092
3.5; 1275; 1000; 4079
3.6; 1284; 1013; 4087
3.7; 1254; 1034; 4093
3.8; 1267; 1029; 4094
3.9; 1280; 1044; 4094
4.0; 1255; 1030; 4090
4.1; 1268; 1005; 4093
4.2; 1283; 997; 4092
4.3; 1283; 1032; 4094
4.4; 1267; 1009; 4079
4.5; 1266; 1031; 4095
4.6; 1266; 1006; 4093
4.7; 1282; 995; 4093
4.8; 1253; 1016; 4091
4.9; 1273; 1010; 4089
5.0; 1257; 998; 4093
5.1; 1253; 1016; 4092
5.2; 1267; 997; 4092
5.3; 1287; 995; 4083
5.4; 1264; 992; 4095
5.5; 1287; 1004; 4093
5.6; 1301; 1023; 4094
5.7; 1269; 989; 4095
5.8; 1265; 1003; 4092
5.9; 1280; 1001; 4093
6.0; 1268; 988; 4092
6.1; 1275; 1000; 4094
6.2; 1275; 983; 4083
6.3; 1270; 981; 4094
6.4; 1272; 1025; 4094
6.5; 1287; 995; 4094
6.6; 1254; 1017; 4095
6.7; 1261; 1018; 4091
6.8; 1274; 983; 4093
6.9; 1299; 1035; 4092
7.0; 1274; 1035; 4094
7.1; 1273; 1007; 4079
7.2; 1254; 1018; 4095
7.3; 1267; 1012; 4094
7.4; 1290; 999; 4095
7.5; 1286; 1024; 4094
7.6; 1293; 994; 4090
7.7; 1275; 1040; 4095
7.8; 1275; 1019; 4094
7.9; 1291; 1021; 4092
8.0; 1249; 991; 4075
8.1; 1261; 996; 4094
8.2; 1260; 1018; 4093
8.3; 1283; 991; 4094
8.4; 1285; 1024; 4091
8.5; 1290; 1020; 4092
8.6; 1253; 1005; 4093
