Data: 2018-5-31
Czas: 13.53.15
$$$ DANE POMIAROWE PROCESU $$$
Wypelnienie PWM: 011
Czas zgrzewania: 011
-
t [ms]; I [A]; U [V]; F [kN]
0.1; 1266; 1032; 998
0.2; 1279; 986; 1008
0.3; 1284; 999; 1001
0.4; 1285; 1004; 997
0.5; 1292; 996; 1035
0.6; 1274; 1018; 1028
0.7; 1293; 1011; 1016
0.8; 1269; 999; 995
0.9; 1260; 1037; 1030
1.0; 1261; 996; 996
1.1; 1282; 1018; 1009
1.2; 1284; 983; 1012
1.3; 1271; 1010; 1041
1.4; 1297; 1008; 1019
1.5; 1289; 1005; 1011
1.6; 1285; 1031; 1038
1.7; 1300; 1012; 997
1.8; 1290; 1017; 1010
1.9; 1265; 978; 980
2.0; 1287; 1010; 1024
2.1; 1296; 1010; 1003
2.2; 1257; 1001; 995
2.3; 1287; 1006; 1030
2.4; 1276; 1011; 979
2.5; 1261; 1012; 1012
2.6; 1280; 991; 991
2.7; 1276; 1019; 996
2.8; 1279; 1003; 1012
2.9; 1275; 1018; 1038
3.0; 1280; 1040; 1019
3.1; 1285; 982; 995
3.2; 1296; 1007; 993
3.3; 1263; 1015; 1012
3.4; 1275; 1014; 1009
3.5; 1300; 1043; 980
3.6; 1274; 1044; 1041
3.7; 1292; 1042; 1011
3.8; 1293; 1009; 1015
3.9; 1271; 1031; 1007
4.0; 1268; 1029; 991
4.1; 1288; 1026; 988
4.2; 1266; 987; 983
4.3; 1250; 982; 986
4.4; 1272; 1010; 1018
4.5; 1288; 999; 1034
4.6; 1281; 1020; 1018
4.7; 1283; 997; 1014
4.8; 1278; 1025; 1037
4.9; 1256; 1000; 1011
5.0; 1268; 1029; 1036
5.1; 1277; 1022; 998
5.2; 1297; 1042; 977
5.3; 1280; 981; 1014
5.4; 1280; 1015; 979
5.5; 1257; 1024; 1036
5.6; 1267; 1024; 998
5.7; 1279; 992; 1035
5.8; 1272; 1000; 1005
5.9; 1260; 1012; 1006
6.0; 1291; 1019; 1010
6.1; 1265; 988; 991
6.2; 1292; 1035; 984
6.3; 1270; 999; 1024
6.4; 1279; 1025; 1024
6.5; 1269; 1022; 1037
6.6; 1294; 995; 985
6.7; 1287; 1036; 1001
6.8; 1266; 1004; 1002
6.9; 1262; 1036; 1030
7.0; 1276; 1010; 1020
7.1; 1293; 1010; 1048
7.2; 1256; 1003; 1006
7.3; 1291; 1005; 1032
7.4; 1269; 1007; 1014
7.5; 1279; 995; 1038
7.6; 1300; 1014; 985
7.7; 1269; 1004; 1029
7.8; 1267; 980; 985
7.9; 1267; 1000; 1040
8.0; 1269; 1019; 1037
8.1; 1265; 1031; 988
8.2; 1265; 996; 1010
8.3; 1288; 1033; 986
8.4; 1266; 991; 991
8.5; 1280; 1010; 1037
8.6; 1300; 1024; 1014
8.7; 1267; 1019; 1028
8.8; 1289; 1022; 1021
8.9; 1293; 1014; 1002
9.0; 1267; 1037; 1018
9.1; 1301; 1008; 1008
9.2; 1267; 1009; 1010
9.3; 1266; 996; 1029
9.4; 1269; 1020; 987
9.5; 1270; 994; 1033
9.6; 1300; 987; 1012
9.7; 1284; 1040; 1017
9.8; 1261; 1003; 993
9.9; 1277; 978; 1012
10.0; 1285; 1031; 991
10.1; 1302; 1040; 1007
10.2; 1299; 1012; 995
10.3; 1300; 988; 995
10.4; 1271; 1024; 1016
10.5; 1279; 983; 982
10.6; 1273; 994; 1008
10.7; 1260; 1013; 1018
10.8; 1263; 1009; 990
10.9; 1260; 980; 1024
11.0; 1279; 1004; 1002
11.1; 1265; 1028; 999
11.2; 1292; 1002; 991
11.3; 1296; 992; 993
11.4; 1257; 993; 983
11.5; 1260; 980; 984
11.6; 1271; 994; 978
11.7; 1288; 983; 1004
11.8; 1280; 990; 1030
11.9; 1264; 1011; 1015
12.0; 1260; 976; 995
12.1; 1269; 1008; 999
12.2; 1263; 1022; 1002
12.3; 1257; 983; 979
12.4; 1276; 1026; 993
12.5; 1287; 995; 1026
12.6; 1265; 997; 1006
12.7; 1272; 1003; 1036
12.8; 1284; 1013; 1030
12.9; 1258; 999; 1007
13.0; 1274; 1017; 1001
13.1; 1270; 1048; 1005
13.2; 1263; 1020; 1012
13.3; 1295; 1040; 1036
13.4; 1283; 1040; 987
13.5; 1291; 999; 978
13.6; 1253; 1011; 1016
13.7; 1278; 1015; 1034
13.8; 1292; 1041; 1015
13.9; 1265; 980; 1023
14.0; 1292; 1020; 1030
14.1; 1290; 1016; 1019
14.2; 1259; 1008; 984
14.3; 1266; 1014; 1002
14.4; 1280; 993; 975
14.5; 1281; 1025; 1030
14.6; 1272; 987; 1019
14.7; 1270; 1030; 977
14.8; 1261; 976; 995
14.9; 1292; 1034; 993
15.0; 1273; 998; 987
15.1; 1254; 1028; 1020
15.2; 1268; 1007; 1024
15.3; 1263; 993; 1035
15.4; 1287; 1017; 1008
15.5; 1292; 1018; 1018
15.6; 1272; 989; 989
15.7; 1279; 1024; 1009
15.8; 1258; 1004; 992
15.9; 1284; 1020; 1019
16.0; 1288; 1030; 975
16.1; 1276; 1014; 1019
16.2; 1261; 1004; 1002
16.3; 1280; 975; 1002
16.4; 1253; 1038; 1010
16.5; 1275; 1004; 995
16.6; 1276; 1029; 1021
16.7; 1253; 986; 994
16.8; 1264; 1008; 981
16.9; 1285; 1038; 1006
17.0; 1253; 1010; 1042
17.1; 1291; 1002; 1006
17.2; 1301; 988; 1006
17.3; 1289; 1022; 1038
17.4; 1298; 987; 996
17.5; 1277; 1018; 1003
17.6; 1268; 1042; 1019
17.7; 1293; 1027; 985
17.8; 1276; 1012; 1029
17.9; 1260; 1002; 1007
18.0; 1263; 1009; 1044
18.1; 1263; 1043; 1036
18.2; 1293; 1029; 1007
18.3; 1292; 1007; 986
18.4; 1293; 1041; 1043
18.5; 1293; 986; 993
18.6; 1268; 1021; 1018
18.7; 1289; 1038; 1042
18.8; 1275; 1041; 1007
18.9; 1295; 982; 1014
19.0; 1262; 1029; 1010
19.1; 1290; 1036; 1032
19.2; 1268; 1022; 1020
19.3; 1263; 977; 1027
19.4; 1276; 1036; 979
19.5; 1275; 986; 979
19.6; 1282; 994; 994
19.7; 1300; 1012; 1030
19.8; 1276; 1004; 987
19.9; 1271; 988; 1026
20.0; 1266; 1017; 1030
20.1; 1272; 987; 999
20.2; 1288; 980; 983
20.3; 1300; 996; 990
20.4; 1263; 976; 990
20.5; 1291; 1028; 1001
20.6; 1268; 1042; 1032
20.7; 1277; 999; 1035
20.8; 1245; 1016; 1006
20.9; 1268; 999; 981
21.0; 1283; 1021; 1031
21.1; 1285; 1010; 987
21.2; 1264; 990; 992
21.3; 1288; 996; 991
21.4; 1288; 1026; 984
21.5; 1280; 1016; 1016
21.6; 1293; 1001; 991
21.7; 1264; 1014; 1038
21.8; 1252; 1021; 1015
21.9; 1262; 1027; 1021
22.0; 1288; 1008; 991
22.1; 1267; 992; 1019
22.2; 1269; 997; 1024
22.3; 1286; 988; 998
22.4; 1278; 1026; 1018
22.5; 1263; 1009; 1010
22.6; 1293; 981; 1002
22.7; 1279; 1024; 1031
22.8; 1272; 1009; 1017
22.9; 1255; 996; 1009
23.0; 1278; 1038; 1020
23.1; 1276; 992; 1016
23.2; 1262; 1022; 1020
23.3; 1278; 1008; 998
23.4; 1262; 1037; 1030
23.5; 1269; 976; 998
23.6; 1286; 986; 983
23.7; 1283; 1001; 1015
23.8; 1261; 1018; 1031
23.9; 1274; 990; 1007
24.0; 1298; 1008; 1018
24.1; 1275; 990; 1028
24.2; 1283; 984; 1012
24.3; 1266; 1011; 998
24.4; 1259; 980; 996
24.5; 1273; 1005; 997
24.6; 1283; 1015; 1018
24.7; 1277; 1040; 1005
24.8; 1284; 1008; 1016
24.9; 1276; 1008; 990
