Data: 2018-5-30
Czas: 14.34.27
$$$ DANE POMIAROWE PROCESU $$$
Wypelnienie PWM: 011
Czas zgrzewania: 011
-
t [ms]; I [A]; U [V]; F [kN]
0.1; 1288; 0; 0
0.2; 1282; 0; 0
0.3; 1273; 0; 0
0.4; 1253; 0; 0
0.5; 1293; 0; 0
0.6; 1254; 0; 0
0.7; 1262; 0; 0
0.8; 1294; 0; 0
0.9; 1272; 0; 0
1.0; 1277; 0; 0
1.1; 1255; 0; 0
1.2; 1257; 0; 0
1.3; 1264; 0; 0
1.4; 1269; 0; 0
1.5; 1271; 0; 0
1.6; 1272; 0; 0
1.7; 1281; 0; 0
1.8; 1261; 0; 0
1.9; 1301; 0; 0
2.0; 1273; 0; 0
2.1; 1260; 0; 0
2.2; 1282; 0; 0
2.3; 1273; 0; 0
2.4; 1260; 0; 0
2.5; 1244; 0; 0
2.6; 1259; 0; 0
2.7; 1288; 0; 0
2.8; 1305; 0; 0
2.9; 1265; 0; 0
3.0; 1281; 0; 0
3.1; 1294; 0; 0
3.2; 1249; 0; 0
3.3; 1260; 0; 0
3.4; 1272; 0; 0
3.5; 1266; 0; 0
3.6; 1292; 0; 0
3.7; 1262; 0; 0
3.8; 1281; 0; 0
3.9; 1268; 0; 0
4.0; 1270; 0; 0
4.1; 1265; 0; 0
4.2; 1278; 0; 0
4.3; 1268; 0; 0
4.4; 1268; 0; 0
4.5; 1269; 0; 0
4.6; 1262; 0; 0
4.7; 1269; 0; 0
4.8; 1260; 0; 0
4.9; 1282; 0; 0
5.0; 1281; 0; 0
5.1; 1272; 0; 0
5.2; 1272; 0; 0
5.3; 1272; 0; 0
5.4; 1292; 0; 0
5.5; 1301; 0; 0
5.6; 1261; 0; 0
5.7; 1259; 0; 0
5.8; 1266; 0; 0
5.9; 1281; 0; 0
6.0; 1263; 0; 0
6.1; 1254; 0; 0
6.2; 1288; 0; 0
6.3; 1272; 0; 0
6.4; 1289; 0; 0
6.5; 1263; 0; 0
6.6; 1235; 0; 0
6.7; 1250; 0; 0
6.8; 1251; 0; 0
6.9; 1269; 0; 0
7.0; 1276; 0; 0
7.1; 1248; 0; 0
7.2; 1264; 0; 0
7.3; 1293; 0; 0
